"Subno"	"Condition"	"Experimenter"	"Gun_type"	"Power"	"Pilot"	"speech_protect"	"gun_protect"	"game_amend"	"gun_amendment"	"media_reg"	"gun_reg"	"ben_risk"	"glad_speech"	"glad_gun"	"AR_1"	"AR_2"	"AR_3"	"AR_4"	"AR_5"	"AR_6"	"AR_7"	"AR_8"	"AR_pay"	"want"	"need"	"us_gun_laws"	"us_rifle"	"guns_det"	"gun_carry"	"school_staff"	"per_1"	"per_2"	"per_3"	"per_4"	"magazine_cap"	"own_gun"	"list_gun_names"	"play_viol_games"	"viol_hours"	"pol_orien"	"Gender"	"Age"	"Race"	"Coll_year"	"GPA"	"p_key_value_1"	"p_key_value_2"	"Notes"	"amend1"	"amend2"	"AR_desire"	"AR_intent"	"AR_price"	"AR_price_blank"	"game_gun_desire"	"policy"	"magazine_cap_bin"
1	2	"Mallorie"	1	0	NA	7	6	5	6	6	6	4	7	4	3	4	5	6	6	2	1	2	"200.000000"	2	3	2	2	2	6	5	10	15	5	7.5	10	0	NA	0	0	4	0	19	5	1	3.2	4	78	"started game right after instructions sheet, didn't realize she was supposed to wait. I just restarted the game quickly and went through the rest of the procedures as normal."	29	22	24	5	200	0	5	17	"other"
2	1	"Mallorie"	0	0	NA	6	6	6	6	4	7	3	7	6	4	3	5	4	5	5	2	1	"150.000000"	3	3	2	4	3	5	5	40	45	25	35	6	0	NA	1	2.5	2	1	18	5	1	3.6	2	106	"participant said that once he died and hit spacebar to restart the game, he wasn't able to shoot. He picked up more ammo to see if that would help but it didn't change anything- Participant was almost done with 15 minutes when it happened. He only lost about a minute of gameplay"	26	25	21	8	150	0	6	19	"other"
3	1	"Candice"	0	0	NA	6	3	5	4	5	5	6	6	3	1	1	1	5	5	1	1	1	"blank"	3	1	6	6	6	2	1	20	10	25	10	9	0	NA	1	2.5	1	1	19	5	1	4	1	174	"He knew how to play and just started without any help, and barely looked at the description of the game he already knew the game and how to play it"	28	15	13	3	NA	1	4	21	"other"
4	2	"Mallorie"	1	0	NA	5	1	1	1	1	1	4	7	4	1	1	1	1	1	1	1	1	"blank"	1	1	7	7	7	1	1	50	50	75	50	5	0	NA	0	0	5	0	19	6	1	3.5	3	42	"Had some trouble controlling her character. Listed race as other- Asian"	18	7	5	3	NA	1	2	23	"other"
5	1	"Candice"	0	0	NA	4	3	7	7	7	3	6	7	5	1	1	4	6	7	2	1	1	"blank"	1	1	1	3	2	5	4	65	50	35	10	6	0	NA	1	0.5	3	1	19	5	1	3.4	4	151	"It looked like he turned his phone off then when I turned for a second he turned it back on and put it in his pocket"	31	18	19	4	NA	1	2	15	"other"
6	4	"Mallorie"	1	1	NA	7	7	5	7	5	2	4	7	5	7	2	5	7	7	7	3	2	"500.000000"	5	2	1	1	5	5	6	0.05	0.01	1	1	25	1	"many huntin rifles, glock, revolver"	1	1	2	1	18	5	1	3.3	3	242	NA	28	21	28	12	500	0	7	18	"other"
7	1	"Candice"	0	0	NA	7	5	3	3	1	2	3	5	3	5	2	4	5	5	6	3	1	"200.000000"	1	1	5	2	4	5	2	45	35	25	5	15	0	NA	1	2	3	0	18	5	1	3.3	0	174	NA	19	13	21	10	200	0	2	18	"other"
8	1	"Mallorie"	0	0	NA	5	5	4	4	4	4	4	6	4	5	3	6	7	7	7	7	7	"2000.000000"	1	1	4	1	3	4	1	50	10	5	50	12.5	1	"22.000000"	1	2	5	1	20	5	2	3.72	2	127	"participant had made a note on the survey: \"I've shot AR-15s, so that's another thing to take into play\" "	23	17	28	21	2000	0	2	13	"other"
9	1	"Mallorie"	0	0	NA	7	6	7	7	5	6	2	7	5	1	6	5	7	7	7	2	2	"120.000000"	1	1	1	1	1	7	4	30	15	25	5	30	1	"AR-15, Colt 45 pistol"	1	2	4	1	19	5	1	3.58	1	43	"participant stopped 12 minutes into the game because one of the doors wouldn’t open so he couldn’t continue through the level. Joe restarted him at the beginning of a new level and he finished the last three minutes of the game. "	28	24	26	11	120	0	2	14	"greater"
10	1	"Candice"	0	0	NA	5	4	2	2	7	7	2	6	2	1	1	1	7	7	1	1	1	"blank"	1	1	7	5	7	4	4	80	90	30	20	10	0	NA	0	0	1	0	19	5	1	3.85	7	93	"She wanted to know if the other games were more violent than the one she played, just as violent, or not violent at all. This was after she completed the survey at about 3:11pm. She arrived 20minutes early, which is why the time was only 3:11"	22	15	17	3	NA	1	2	27	"other"
11	3	"Candice"	0	1	NA	7	5	7	7	7	4	3	7	2	5	4	5	7	4	7	1	1	"blank"	1	1	1	1	1	6	6	5	1	2	1	20	1	"AR-15, .45 pistol, shotgun, hunting rifle, some smaller caliber pistol (.22)?"	1	7	4	0	18	5	1	3	0	405	"participant noted on the survey that her family owns the guns, not her personally."	31	18	25	9	NA	1	2	15	"other"
12	3	"Candice"	0	1	NA	7	1	4	4	3	1	5	7	1	1	1	1	3	7	1	1	1	"20.000000"	1	1	7	7	7	1	1	5	1	3	0.3	3	0	NA	1	1	3	1	20	5	2	2.5	3	335	NA	26	7	13	3	20	0	2	23	"other"
13	4	"Mallorie"	1	1	NA	7	2	2	4	7	1	4	7	2	2	1	1	5	6	5	1	1	"blank"	2	1	6	7	6	3	1	15	3	2	2	10	0	NA	1	20	1	1	24	5	2	3	0	322	"Said he played a lot of video/computer games including DOOM"	27	9	15	7	NA	1	3	23	"other"
14	1	"Jacob"	0	0	NA	7	6	5	6	6	4	4	7	5	7	2	5	6	7	7	4	2	"350.000000"	4	2	2	3	5	6	5	11	15	10	5	30	0	NA	1	2.5	2	1	19	5	1	3.8	4	129	"arrived early"	29	21	27	13	350	0	6	21	"greater"
15	4	"Jacob"	1	1	NA	6	7	5	6	7	3	7	6	4	7	4	7	4	7	7	4	6	"5000.000000"	7	1	1	1	5	5	2	25	5	5	1	10	0	NA	1	10	3	1	21	5	2	2.5	0	139	"has knowledge of games"	31	20	29	17	5000	0	8	14	"other"
16	2	"mallorie"	1	0	NA	6	5	3	5	2	2	2	7	3	1	1	1	5	7	1	1	1	"blank"	1	1	5	5	7	6	4	65	45	40	20	10	0	NA	0	0	2	1	19	5	1	3.3	7	108	"participant put the headphones on initially but had them off when I came in after the 15 minutes"	20	15	15	3	NA	1	2	27	"other"
17	1	"Mallorie"	0	0	NA	5	5	4	5	4	4	4	5	5	6	6	4	6	4	7	5	4	"2200.000000"	1	1	2	1	1	4	4	18	10	20	35	30	1	"20ga 870 remington magnum express, model 700 remington 6mm, 40cal. Glock 22, remington semi-automatic 12ga, remington 22 semi automatic rifle, marlin 30-30"	1	2	2	1	21	5	3	2.2	1	116	"wrote \"depends on the gun\" for question about magazine size"	22	19	26	16	2200	0	2	12	"greater"
